"species","roc","prg","cor","tss","kappa","thres.maxTSS","model","time","bg","no.runs"
"Lumb_terr",0.943653312983655,0.950752069688322,0.247205739054215,0.751159938801402,0.274,0.823245888490588,"gm_pred","39.335 mins","bg.glm",1
"Lumb_terr",0.932515756495013,0.945979330366614,0.258985517529451,0.734592340502338,0.305,0.785662608656603,"lm1_pred","0.43 secs","bg.glm",1
"Lumb_terr",0.927812927942068,0.940597019036054,0.263685302341405,0.743973067431392,0.311,0.758685561328869,"lm_subset_pred","1.474 mins","bg.glm",1
"Lumb_terr",0.941004232396099,0.962758993447153,0.42023650905335,0.744167522810489,0.243,0.396344095036701,"lasso_pred","8.033 mins","bg.glm",1
"Lumb_terr",0.923358653251898,0.940096174666417,0.365339875308578,0.73358167113457,0.27,0.603028371340331,"ridge_pred","45.058 secs","bg.glm",1
"Lumb_terr",0.836356628174054,0.810784751347769,0.669759895390932,0.622229364355163,0.657,0.6,"mars_pred","8.4012 secs","bg.mars",1
"Lumb_terr",0.945627782986759,0.967375243671887,0.52520960325585,0.747339139903914,0.254,0.127110520343597,"maxmod_pred","40.858 mins","bg.glm",1
"Lumb_terr",0.947992410256968,0.973063574191265,0.541905300193732,0.758246840162415,0.292,0.145510580738085,"maxnet_pred","4.322 mins","bg.glm",1
"Lumb_terr",0.987493182834839,0.986165269534719,0.921070074267117,0.908616283986249,0.908,0.531847686502271,"brt_pred","5.32 mins","bg.rf",7
"Lumb_terr",0.950634011791481,0.97530005848458,0.475966880170726,0.778802269543576,0.324,0.417719832236912,"brt2_pred","1.094 hours","bg.glm",7
"Lumb_terr",0.953116287050149,0.931965926035584,0.906232574100288,0.906232574100287,0.906,1,"xgb_pred","6.8 mins","bg.rf",1
"Lumb_terr",0.981874000404432,0.978808224976839,0.909636656524167,0.893639967890386,0.894,0.438308044524283,"svm_pred","1.495 secs","bg.rf",1
"Lumb_terr",0.98924573046308,0.988277351674768,0.928382264792967,0.923531322193013,0.923,0.556,"rf_pred","7.406 secs","bg.rf",1
"Lumb_terr",0.96084491360829,0.997888318833186,0.748276497313682,0.792609100062998,0.414,0.048,"rf2_pred","28.507 secs","bg.glm",1
"Lumb_terr",0.990109748699378,0.989211509193482,0.929645224729699,0.921025056528853,0.921,0.538,"rf_downsample_pred","7.406 secs","bg.rf",1
"Lumb_terr",0.880973862454694,0.875418228531877,0.286073336392739,0.0633090614886731,-0.002,0.283,"biomod_pred","16.535 hours","bg.biomod",1
"Lumb_terr",0.960424590827245,0.997107190481254,0.527088320388299,0.784883986175718,0.336,0.432954943133761,"ensm_pred","16.535 hours","bg.glm",1
