Predictor,maxent,Species
Agriculture,4.124,Aporr_cali
Aspect,0.474,Aporr_cali
CEC,9.314,Aporr_cali
Clay.Silt,0.734,Aporr_cali
Cu,10.113,Aporr_cali
Dist_Coast,5.365,Aporr_cali
Dist_River,0.25,Aporr_cali
Dist_Urban,0.508,Aporr_cali
Elev,1.651,Aporr_cali
Forest_Coni,1.104,Aporr_cali
Forest_Deci,0.291,Aporr_cali
Hg,0.99,Aporr_cali
MAP,3.383,Aporr_cali
MAP_Seas,15.793,Aporr_cali
MAT,10.272,Aporr_cali
Moisture,3.714,Aporr_cali
N,4.375,Aporr_cali
NDVI,1.514,Aporr_cali
P,3.109,Aporr_cali
Pastures,2.991,Aporr_cali
Pop_Dens,9.869,Aporr_cali
SOC,0.646,Aporr_cali
Shrubland,0,Aporr_cali
Slope,0.11,Aporr_cali
pH,9.308,Aporr_cali
Agriculture,2.888,Aporr_rose
Aspect,0,Aporr_rose
CEC,4.219,Aporr_rose
Clay.Silt,3.292,Aporr_rose
Cu,7.248,Aporr_rose
Dist_Coast,6.431,Aporr_rose
Dist_River,0.509,Aporr_rose
Dist_Urban,0.83,Aporr_rose
Elev,8.312,Aporr_rose
Forest_Coni,2.807,Aporr_rose
Forest_Deci,2.196,Aporr_rose
Hg,0.92,Aporr_rose
MAP,1.165,Aporr_rose
MAP_Seas,12.48,Aporr_rose
MAT,8.762,Aporr_rose
Moisture,2.642,Aporr_rose
N,3.1,Aporr_rose
NDVI,1.782,Aporr_rose
P,1.569,Aporr_rose
Pastures,5.946,Aporr_rose
Pop_Dens,7.926,Aporr_rose
SOC,0.272,Aporr_rose
Shrubland,1.614,Aporr_rose
Slope,0.768,Aporr_rose
pH,12.323,Aporr_rose
